id,period,date,source,source_type,title,url,country_a,country_b,summary
1,past,2021-02-04,Reuters,news,"South Korea's Moon pledges to upgrade alliance with US in call with Biden","https://www.reuters.com/world/asia-pacific/s-koreas-moon-pledges-upgrade-alliance-with-us-call-with-biden-2021-02-04/",South Korea,United States,"문재인 대통령이 바이든 대통령과 통화하며 한미동맹 강화와 대북전략 협력을 언급한 기사다. alliance, diplomacy, North Korea 관련 맥락이 포함된다."
2,past,2021-05-21,Reuters,news,"South Korea's Moon to be second leader, second Asian welcomed by Biden","https://www.reuters.com/world/asia-pacific/south-koreas-moon-be-second-leader-second-asian-welcomed-by-biden-2021-05-21/",South Korea,United States,"바이든-문재인 정상회담에서 북한 문제와 한미동맹을 중심으로 협력 의지가 드러난 기사다. summit, alliance, North Korea 키워드가 관계 분석에 사용될 수 있다."
3,past,2022-08-22,Reuters,news,"South Korea, US begin military drills amid North Korea backlash","https://www.reuters.com/world/south-korea-us-begin-military-drills-amid-nkorea-backlash-2022-08-22/",South Korea,United States,"한국과 미국이 북한 위협에 대응해 수년 만에 최대 규모의 연합 군사훈련을 시작한 기사다. military drills, alliance, North Korea 키워드가 포함된다."
4,recent,2025-10-30,Reuters,news,"South Korea releases details of trade deal struck with US","https://www.reuters.com/business/autos-transportation/south-korea-releases-details-trade-deal-struck-with-us-2025-10-30/",South Korea,United States,"미국과 한국이 무역 합의 세부 사항을 공개하고 자동차 관세와 투자 패키지 등을 논의한 기사다. trade deal, tariff, investment 키워드가 포함된다."
5,recent,2026-06-11,Reuters,news,"US, South Korea hold nuclear deterrence talks as North Korea expands arms push","https://www.reuters.com/world/asia-pacific/us-south-korea-hold-nuclear-deterrence-talks-north-korea-expands-arms-push-2026-06-11/",South Korea,United States,"한미가 핵협의그룹 회의를 열어 북한 핵 위협에 대한 억제력과 공동 대응을 논의한 기사다. nuclear deterrence, talks, North Korea, security cooperation 키워드가 포함된다."
6,recent,2026-06-16,Reuters,news,"South Korea's Lee asks Trump to lead peaceful diplomacy with North Korea","https://www.reuters.com/business/aerospace-defense/south-koreas-lee-asks-trump-lead-peaceful-diplomacy-with-north-korea-2026-06-16/",South Korea,United States,"한국 대통령이 미국 대통령에게 북한 문제에 대한 평화 외교를 주도해 달라고 요청한 기사다. peaceful diplomacy, Trump, North Korea 키워드가 포함된다."
7,past,2021-03-31,Reuters,news,"South Korean foreign minister going to China for first time in three years","https://www.reuters.com/world/china/skorean-foreign-minister-going-china-first-time-3-years-2021-03-31/",South Korea,China,"한국 외교장관이 3년 만에 중국을 방문해 관계 개선을 논의한 기사다. visit, diplomacy, meeting 키워드가 포함된다."
8,past,2021-04-03,Reuters,news,"China, South Korea vow cooperation on North Korea after top diplomat meeting","https://www.reuters.com/world/china/china-south-korea-vow-cooperation-north-korea-after-top-diplomat-meeting-2021-04-03/",South Korea,China,"한중 외교장관 회담에서 한반도 비핵화와 평화 문제에서 중국의 역할을 논의한 기사다. vow cooperation, meeting, North Korea 키워드가 포함된다."
9,past,2022-08-11,Reuters,news,"South Korea says THAAD missile system is means of self defence","https://www.reuters.com/world/asia-pacific/skorea-says-thaad-missile-system-is-means-self-defence-news1-2022-08-11/",South Korea,China,"한국과 중국이 사드 배치 문제를 두고 충돌한 기사다. THAAD, missile defense, security 키워드가 포함된다."
10,recent,2025-03-29,Reuters,news,"South Korea, China industry ministers agree to cooperate in evolving global environment","https://www.reuters.com/world/asia-pacific/south-korea-china-industry-ministers-agree-cooperate-evolving-global-environment-2025-03-29/",South Korea,China,"한중 산업장관이 변화하는 글로벌 무역환경 속에서 협력하기로 한 기사다. agreement, cooperation, trade 키워드가 포함된다."
11,recent,2025-11-02,Reuters,news,"China's commerce minister calls for supply chain cooperation with South Korea","https://www.reuters.com/world/asia-pacific/chinas-commerce-minister-calls-supply-chain-cooperation-with-south-korea-2025-11-02/",South Korea,China,"중국 상무부 장관이 한국과 공급망 협력 강화를 논의한 기사다. supply chain cooperation, trade, meeting 키워드가 포함된다."
12,recent,2026-03-19,Reuters,news,"China, South Korea vow to maintain supply chain stability as ties improve","https://www.reuters.com/world/asia-pacific/china-south-korea-vow-maintain-supply-chain-stability-ties-improve-2026-03-19/",South Korea,China,"중국과 한국이 공급망 안정과 무역·투자 협력을 유지하기로 한 기사다. maintain supply chain stability, supply chain, investment 키워드가 포함된다."
13,past,2021-06-07,Reuters,news,"South Korea court dismisses forced labour case against Japanese firms","https://www.reuters.com/world/asia-pacific/south-korea-court-dismisses-forced-labour-case-against-japanese-firms-2021-06-07/",South Korea,Japan,"한국 법원이 일본 기업을 상대로 한 강제동원 손해배상 소송을 기각한 기사다. forced labour, history, dispute 키워드가 포함된다."
14,past,2023-03-06,Reuters,news,"South Korea to announce plans to resolve forced labour dispute with Japan","https://www.reuters.com/world/asia-pacific/south-korea-announce-plans-resolve-forced-labour-dispute-with-japan-2023-03-06/",South Korea,Japan,"한국 정부가 강제동원 배상 해법을 발표하며 한일 갈등 해결을 시도한 기사다. forced labour, dispute, diplomacy 키워드가 포함된다."
